metric,value,value_raw,unit_scale
KernIntr,266591374000,266591374K,K
ErrorIntr,0,0,none
Tx_Errs,0,0,none
Rcv_Errs,0,0,none
H/W_Errs,0,0,none
NoPIOBufs,0,0,none
CtxtsOpen,16,16,none
RcvLen_Errs,0,0,none
EgrBufFull,0,0,none
EgrHdrFull,0,0,none
RcvOverflow,0,0,none
RxLenErr,0,0,none
RxShrErr,0,0,none
RxICrcErr,0,0,none
RxEbpCnt,0,0,none
RxTIDFullEr,0,0,none
RxTIDInvalid,0,0,none
RxTidFLGMs,0,0,none
RxCtxEgrS,3294704000,3294704K,K
RxTidFLSMs,0,0,none
CcePciCrSt,273054,273054,none
CcePciTrSt,184023,184023,none
CcePioWrSt,0,0,none
CceErrInt,16,16,none
CceSdmaInt,89099713,89099713,none
CceMiscInt,5047308,5047308,none
CceRcvAvInt,1365872000,1365872K,K
CceRcvUrgInt,0,0,none
CceSndCrInt,0,0,none
DcUnctblErr,0,0,none
DcRecvErr,0,0,none
DcFmCfgErr,0,0,none
DcRmtPhyErr,0,0,none
DcDroppedPkt,0,0,none
DcMcXmitPkts,325,325,none
DcMcRcvPkts,8292492,8292492,none
DcXmitCorr,0,0,none
DcRcvCorrCnt,0,0,none
DcRxFCntl,203914151,203914151,none
DcXmitFCntl,1828214062000,1828214062K,K
DcXmitFlits,1435573000,1435573K,K
DcRcvFlits,98080414443000,98080414443K,K
DcXmitPkts,89429212,89429212,none
DcRcvPkts,432042673000,432042673K,K
DcRxFlitVl0,98080394846000,98080394846K,K
DcRxFlitVl1,0,0,none
DcRxFlitVl2,0,0,none
DcRxFlitVl3,0,0,none
DcRxFlitVl4,0,0,none
DcRxFlitVl5,0,0,none
DcRxFlitVl6,0,0,none
DcRxFlitVl7,0,0,none
DcRxFlitVl15,19597261,19597261,none
DcRxPktVl0,432042339000,432042339K,K
DcRxPktVl1,0,0,none
DcRxPktVl2,0,0,none
DcRxPktVl3,0,0,none
DcRxPktVl4,0,0,none
DcRxPktVl5,0,0,none
DcRxPktVl6,0,0,none
DcRxPktVl7,0,0,none
DcRxPktVl15,333236,333236,none
DcRcvFcn,0,0,none
DcRcvFcnVl0,0,0,none
DcRcvFcnVl1,0,0,none
DcRcvFcnVl2,0,0,none
DcRcvFcnVl3,0,0,none
DcRcvFcnVl4,0,0,none
DcRcvFcnVl5,0,0,none
DcRcvFcnVl6,0,0,none
DcRcvFcnVl7,0,0,none
DcRcvFcnVl15,0,0,none
DcRcvBcn,0,0,none
DcRcvBcnVl0,0,0,none
DcRcvBcnVl1,0,0,none
DcRcvBcnVl2,0,0,none
DcRcvBcnVl3,0,0,none
DcRcvBcnVl4,0,0,none
DcRcvBcnVl5,0,0,none
DcRcvBcnVl6,0,0,none
DcRcvBcnVl7,0,0,none
DcRcvBcnVl15,0,0,none
DcRcvBbl,31193985000,31193985K,K
DcRcvBblVl0,31193984000,31193984K,K
